title,price in Rupees,star_rating,Number of ratings,Number of reviews,date,alert1,alert2
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:15,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:15,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:20,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:25,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:30,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:35,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:40,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:45,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:50,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:44:56,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",1199,4.2,53557,5652,2022-04-29 @ 16:45:01,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:37,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:37,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:42,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:47,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:52,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:29:57,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:30:03,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:30:08,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:30:13,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:30:18,None,None
"boAt Rockerz 370 Bluetooth Headset(Buoyant Black, On the Ear)",849,4.2,54379,5730,2022-05-08 @ 18:30:23,None,None
